平成22年国勢調査（総務省統計局）																																																																																			
都道府県・市区町村別主要統計表（平成22年）																																																																																			
"注）総数には「不詳」を含むため、内訳を合計しても総数に一致しない。
"																																																																																			
　割合は，分母から不詳を除いて算出している。　　							用語の解説																																																																												
  産業３部門別割合は，分母から「分類不能の産業」を除いて算出している。																																																																																			
地域	人口	平成17年	平成17年～22年の	平成17年～22年の					年齢（総数）	年齢別割合（総数）	年齢（男）	年齢別割合（男）	年齢（女）	年齢別割合（女）		国籍	世帯							昼間人口	"昼夜間
人口比率"
								総数	組替人口	人口増減数	人口増減率	面積	人口密度	平均年齢	年齢中位数	"総数
人口"	"15歳未満
人口"	"15～64歳
人口"	"65歳以上
人口"	"15歳未満
人口割合"	"15～64歳
人口割合"	"65歳以上
人口割合"	"総数
人口"	"15歳未満
人口"	"15～64歳
人口"	"65歳以上
人口"	"15歳未満
人口割合"	"15～64歳
人口割合"	"65歳以上
人口割合"	"総数
人口"	"15歳未満
人口"	"15～64歳
人口"	"65歳以上
人口"	"15歳未満
人口割合"	"15～64歳
人口割合"	"65歳以上
人口割合"	人口性比	日本人	外国人	世帯総数	一般世帯	施設等の世帯	平成17年組替世帯総数	一般世帯数										"15歳以上
就業者数"	産業３部門	産業大分類別就業者数	
																																					（女100人につき男）								"うち
核家族世帯"	"うち
夫婦のみの世帯"	"うち
夫婦と子供
から成る世帯"	"うち
男親と子供
から成る世帯"	"うち
女親と子供
から成る世帯"	"うち
単独世帯"	"うち
65歳以上の高齢単身者世帯"	"（再掲）
高齢夫婦世帯（夫65歳以上妻60歳以上の夫婦1組のみの一般世帯）"	"（再掲）
３世代世帯"	"第１次産業
就業者数"	"第２次産業
就業者数"	"第３次産業
就業者数"	"第１次産業
就業者の割合"	"第２次産業
就業者の割合"	"第３次産業
就業者の割合"	Ａ 農業，林業	"
うち農業"	Ｂ 漁業	Ｃ 鉱業，採石業，砂利採取業	Ｄ 建設業	Ｅ 製造業	Ｆ 電気・ガス・熱供給・水道業	Ｇ 情報通信業	Ｈ 運輸業，郵便業	Ｉ 卸売業，小売業	Ｊ 金融業，保険業	Ｋ 不動産業，物品賃貸業	Ｌ 学術研究，専門・技術サービス業	Ｍ 宿泊業，飲食サービス業	Ｎ 生活関連サービス業，娯楽業	Ｏ 教育，学習支援業	Ｐ 医療，福祉	Ｑ 複合サービス事業	Ｒ サービス業（他に分類されないもの）	Ｓ 公務（他に分類されるものを除く）	Ｔ 分類不能の産業	
"都道府県
コード"	"都道府県・
市区町村コード"	大都市圏	都市圏	"都道府県庁
所在市"	"市など
の別"	都道府県名	都道府県・市区町村名	（人）	（人）	（人）	（％）	（km2）	（人/km2）	（歳）	（歳）	（人）	（人）	（人）	（人）	（％）	（％）	（％）	（人）	（人）	（人）	（人）	（％）	（％）	（％）	（人）	（人）	（人）	（人）	（％）	（％）	（％）		（人）	（人）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（世帯）	（人）	（人）	（人）	（人）	（％）	（％）	（％）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	（人）	
00	00000				a	全国	全国	128,057,352	127,767,994	289,358	0.2 	377,950.10	343.4	45.0 	45.0 	128,057,352	16,803,444	81,031,800	29,245,685	13.2 	63.8 	23.0 	62,327,737	8,602,329	40,684,202	12,470,412	13.9 	65.9 	20.2 	65,729,615	8,201,115	40,347,598	16,775,273	12.6 	61.8 	25.7 	94.8 	125,358,854	1,648,037	51,950,504	51,842,307	108,197	49,566,305	51,842,307	29,206,899	10,244,230	14,439,724	664,416	3,858,529	16,784,507	4,790,768	5,250,952	3,657,711	59,611,311	2,381,415	14,123,282	39,646,316	4.2	25.2	70.6	2,204,530	2,135,977	176,885	22,152	4,474,946	9,626,184	284,473	1,626,714	3,219,050	9,804,290	1,512,975	1,113,768	1,902,215	3,423,208	2,198,515	2,635,120	6,127,782	376,986	3,405,092	2,016,128	3,460,298	128,057,352	100.0
01	01000				a	北海道	北海道	5,506,419	5,627,737	-121,318	-2.2 	83,456.87	70.2	46.5 	47.7 	5,506,419	657,312	3,482,169	1,358,068	12.0 	63.3 	24.7 	2,603,345	335,353	1,695,591	567,141	12.9 	65.3 	21.8 	2,903,074	321,959	1,786,578	790,927	11.1 	61.6 	27.3 	89.7 	5,482,650	18,280	2,424,317	2,418,305	6,012	2,380,251	2,418,305	1,390,075	578,874	587,312	28,294	195,595	842,730	261,553	292,775	95,398	2,509,464	181,531	429,376	1,761,386	7.7	18.1	74.2	147,191	140,047	34,340	2,098	223,013	204,265	12,986	41,316	148,889	420,276	52,051	42,815	65,476	156,428	98,708	108,645	292,286	25,301	164,565	131,644	137,171	5,504,418	100.0
01	01100	札幌		○	1	北海道	札幌市	1,913,545	1,880,863	32,682	1.7 	1,121.12	1,706.8	44.4 	44.1 	1,913,545	224,212	1,292,313	391,796	11.7 	67.7 	20.5 	896,850	113,929	617,208	162,719	12.7 	69.1 	18.2 	1,016,695	110,283	675,105	229,077	10.9 	66.5 	22.6 	88.2 	1,904,060	6,871	885,848	884,750	1,098	837,367	884,750	486,407	183,966	219,605	9,514	73,322	347,932	81,848	82,888	21,403	861,037	3,534	118,904	658,853	0.5	15.2	84.3	3,418	3,079	116	138	71,759	47,007	4,121	29,306	51,528	164,613	22,701	24,072	31,762	55,449	34,812	39,692	100,767	3,423	65,093	31,514	79,746	1,925,535	100.6
01	01101				0	北海道	札幌市 中央区	220,189	202,801	17,388	8.6 	46.42	4,743.4	43.7 	42.3 	220,189	22,250	156,677	41,250	10.1 	71.2 	18.7 	99,791	11,265	72,576	15,938	11.3 	72.7 	16.0 	120,398	10,985	84,101	25,312	9.1 	69.9 	21.0 	82.9 	218,958	1,225	120,741	120,596	145	108,435	120,596	49,897	21,190	19,909	869	7,929	65,429	11,338	7,830	1,376	102,765	263	6,931	80,526	0.3	7.9	91.8	248	110	15	14	4,076	2,841	614	4,659	2,897	17,246	3,742	3,601	5,103	8,661	4,099	5,420	13,169	297	6,818	4,200	15,045	372,808	169.3
01	01102				0	北海道	札幌市 北区	278,781	272,877	5,904	2.2 	63.48	4,391.6	43.8 	43.3 	278,781	34,185	187,505	55,946	12.3 	67.5 	20.2 	132,481	17,490	90,807	23,509	13.3 	68.9 	17.8 	146,300	16,695	96,698	32,437	11.4 	66.3 	22.2 	90.6 	276,374	1,541	127,440	127,291	149	120,810	127,291	69,897	25,469	32,732	1,412	10,284	49,903	11,001	12,150	3,431	119,902	641	19,794	92,204	0.6	17.6	81.9	620	595	21	16	12,952	6,826	587	3,455	7,488	23,460	2,952	3,136	4,140	7,350	4,842	7,124	14,024	543	9,244	3,859	7,263	269,420	96.6
01	01103				0	北海道	札幌市 東区	255,873	253,996	1,877	0.7 	57.13	4,478.8	43.5 	42.6 	255,873	31,210	174,326	49,369	12.2 	68.4 	19.4 	122,154	15,903	85,113	20,563	13.1 	70.0 	16.9 	133,719	15,307	89,213	28,806	11.5 	66.9 	21.6 	91.4 	254,759	964	118,939	118,804	135	113,457	118,804	64,877	23,826	29,499	1,333	10,219	47,375	11,048	10,376	2,609	115,876	470	18,083	86,041	0.4	17.3	82.3	458	436	12	12	11,485	6,586	562	3,559	7,595	23,353	2,405	3,224	3,688	7,005	4,322	4,266	12,770	442	9,147	3,703	11,282	243,059	95.0
01	01104				0	北海道	札幌市 白石区	204,259	201,307	2,952	1.5 	34.58	5,906.9	43.5 	42.2 	204,259	23,698	140,875	38,818	11.7 	69.3 	19.1 	96,974	11,961	68,450	16,046	12.4 	71.0 	16.6 	107,285	11,737	72,425	22,772	11.0 	67.7 	21.3 	90.4 	202,511	488	100,444	100,343	101	96,021	100,343	50,235	18,716	22,287	1,104	8,128	44,692	9,095	7,753	1,959	97,044	325	15,381	70,096	0.4	17.9	81.7	317	298	8	6	9,586	5,789	264	3,430	7,237	18,906	1,993	2,660	3,199	5,703	3,961	2,556	10,372	353	7,577	1,885	11,242	201,654	98.7
